linkId,roadName,speed_kmh,congestion_level,observed_at
2950012601,장천로,50,,20251029111500
2950012602,장천로,46.3,,20251029111500
2950013101,서문로,56.5,,20251029111500
2950013103,서문로,53,,20251029111500
2950013104,서문로,57.5,,20251029111500
2950013201,서문로,34,,20251029111500
2950013203,서문로,44,,20251029111500
2950013204,서문로,54,,20251029111500
2950013501,충서로,68,,20251029111500
2950013502,충서로,60,,20251029111500
2950013601,충서로,65.3,,20251029111500
2950013602,충서로,82,,20251029111500
2950013900,서해안고속도로,43.5,,20251029111500
2950014000,서해안고속도로,29,,20251029111500
2950014300,서해안고속도로,43,,20251029111500
2950014400,서해안고속도로,46,,20251029111500
2950014500,장천로,47,,20251029111500
2950014600,장천로,41,,20251029111500
2950014701,충서로,44,,20251029111500
2950014702,충서로,57,,20251029111500
2950014801,충서로,64,,20251029111500
2950014802,충서로,32,,20251029111500
2950015100,서해안고속도로,65,,20251029111500
2950015200,서해안고속도로,57,,20251029111500
2950015300,서해안고속도로,63,,20251029111500
2950015400,서해안고속도로,58,,20251029111500
2950015500,서해안고속도로,102.5,,20251029111500
2950015600,서해안고속도로,103,,20251029111500
2950015700,충절로,61.7,,20251029111500
2950015800,충절로,59,,20251029111500
2950015902,서해안고속도로,96.8,,20251029111500
2950016002,서해안고속도로,98.3,,20251029111500
2950016301,한마로,34,,20251029111500
2950016302,한마로,57,,20251029111500
2950016401,한마로,48.5,,20251029111500
2950016402,한마로,33,,20251029111500
2950016900,서문로,43,,20251029111500
2950017000,서문로,47,,20251029111500
2950030000,장산로,65,,20251029111500
2950030100,장산로,54,,20251029111500
2950030200,장산로,54,,20251029111500
2950030300,장산로,67,,20251029111500
2950030402,장산로,38,,20251029111500
2950030404,장산로,46,,20251029111500
2950030406,장산로,48.5,,20251029111500
2950030501,장산로,54.5,,20251029111500
2950030503,장산로,45,,20251029111500
2950030505,장산로,45,,20251029111500
2950030506,장산로,42,,20251029111500
2950030600,성화로,38,,20251029111500
2950030700,성화로,39,,20251029111500
2950030800,성화로,31.5,,20251029111500
2950030900,성화로,31,,20251029111500
2950031000,장마로,52.5,,20251029111500
2950031100,장마로,58.5,,20251029111500
2950031200,장마로,45,,20251029111500
2950031300,장마로,51.5,,20251029111500
2950031700,서천공주고속도로,92,,20251029111500
2950031800,서천공주고속도로,81.3,,20251029111500
2950031900,서해안고속도로,71.3,,20251029111500
2950032000,서천공주고속도로,69,,20251029111500
2950032100,서천공주고속도로,92,,20251029111500
2950032200,서해안고속도로,89,,20251029111500
2950032300,서천공주고속도로,95.8,,20251029111500
2950032400,서천공주고속도로,96.9,,20251029111500
2950032500,서천공주고속도로,100.1,,20251029111500
2950032600,서천공주고속도로,99,,20251029111500
2950032700,서천공주고속도로,97.8,,20251029111500
2950032800,서천공주고속도로,90.6,,20251029111500
2950032900,서천공주고속도로,75,,20251029111500
2950033000,서해안고속도로,59,,20251029111500
2950033100,서해안고속도로,78.7,,20251029111500
2950033200,서천공주고속도로,71,,20251029111500
2950033300,서천공주고속도로,73,,20251029111500
2950033400,서천공주고속도로,60,,20251029111500
2950057300,대백제로,39,,20251029111500
2950057400,대백제로,53.3,,20251029111500
2950057500,대백제로,53,,20251029111500
2950057600,대백제로,66.5,,20251029111500
